post_text;date;hash;reposts_count;likes_count;id
"1Т — спонсор конкурса Мисс и Мистер СПбСО 2023 
 
👫 В среду, 3 мая, студенты петербургских вузов соревновались за звание Мисс и Мистер студенческих отрядов — МиМ 2023. Яркое шоу и награждение победителей прошли в доме молодежи «Атлант». 
 
🎉 Конкурс проходит каждый год, это уже 11-е награждение. Это всегда большое событие — за каждого финалиста болеет большая группа поддержки своего студенческого отряда. 
 
📸 К финалу частники идут несколько месяцев. Они проходят несколько этапов отбора, готовятся, участвуют в фотосессиях и мастер-классах. В этом году темой были великие люди — и на сцене финала конкурса появились Александр Македонский, Петр Первый и Мария-Антуанетта. 
 
👑 Победителями и Мисс и Мистер СПбСО 2023 в этом году стали Александра Душкина из СПО «Перспектива» и Кирилл Игумнов, СПО «Кадр». Поздравляем! 
 
🤝 Компания 1Т была спонсором конкурса — 1Т сотрудничает с РСО, и на наших курсах многие участники студенческих отрядов показали себя активными и талантливыми разработчиками, аналитиками, маркетологами, дизайнерами и менеджерами. 
 
#1ТСпринт_РСО";2023-05-06 15:20:00;I9gUxhl0R7i7qg6b05q3Y4DU5ccN;0;17;428
"Дорогие друзья! 
 
☀ Мы уже писали о том, что в нашей детской онлайн-школе 1Т Старт [club216705064|@1tstart] в июне начинаются «Летние старты» — бесплатные курсы программирования для школьников 8–11 классов. За одно лето можно научиться программировать на JavaScript, использовать Babylon, VS Code, Gimp, Blender и создавать свои компьютерные игры. 
 
🤝 Приглашаем вас стать Друзьями Старта: расскажите близким и друзьям о курсах и и получите до 4000 рублей за каждого друга от 1Т Старт. 
 
🌐 Участвовать в программе могут все: родители (можно получить бонус и за своего ребенка тоже), учителя, ученики наших курсов и вообще все желающие. 
 
💳 Если приглашенный вами друг завершил один учебный модуль, вы получите 1000 рублей на счет бонусной программы. Когда он завершит все 4 модуля — вы наберете уже 4000 рублей. Деньги можно будет перевести на свою карту после окончания учебной программы курса 29.09.2023. 
 
Регистрируйтесь в программе на странице https://start.1t.ru/c/friend.html, отправляйте друзьям ссылку на летний курс «Моделирование игровых миров на JavaScript» https://start.1t.ru/c/express-js.html и приглашайте новых Друзей Старта! 
 
#1ТСтарт";2023-05-05 17:54:02;HYewct5s5_p9zNWrcXysGYQAepxP;0;7;425
"⏰ Вебинар начнется через полчаса! 
 
Data Science: что это такое и почему так востребованы специалисты по машинному обучению 
 
🔹 Чем занимается Data Scientist 
🔹 Какие задачи решают нейронные сети 
🔹 Чем машинное обучение отличается от обычного 
🔹 И даже как применить нейросети для обычных бытовых задач! 
 
Подключайтесь к трансляции
в YouTube https://www.youtube.com/live/MGksp8rMD0U?feature=share
ВКонтакте https://vk.com/video-215426617_456239061
или в Телеграм https://t.me/sprint_1T ! 
 
Ждем вас на вебинаре! 
 
#1ТСпринт_ИИ";2023-05-04 19:30:00;N2Bov-MyJ2XLGC9K1Sdt2DDpLbDI;1;2;424
"🖥 Приглашаем на вебинар сегодня в 20:00! 
 
Тема — Data Science: что это такое и почему так востребованы специалисты по машинному обучению 
 
В гостях у академического директора 1Т Ивана Тугого — эксперты по машинному обучению и специалисты по работе с данными. 
 
Расскажем: 
🔹 Чем занимается Data Scientist 
🔹 Какие задачи решают нейронные сети 
🔹 Чем машинное обучение отличается от обычного 
🔹 И даже как применить нейросети для обычных бытовых задач! 
 
🔹 Подключайтесь к трансляции сегодня в 20:00 в YouTube https://www.youtube.com/live/MGksp8rMD0U?feature=share, ВКонтакте https://vk.com/video-215426617_456239061 или в Телеграм https://t.me/sprint_1T ! 
 
📚 А если вам интересна эта тема, напоминаем, что сейчас открыт набор на курсы 1Т по искусственному интеллекту в рамках госпрограммы, по которой можно получить 100% скидку на обучение: 
💿 Инженер данных https://data.1t.ru/leo
👨‍💻 Аналитик данных https://data.1t.ru/libra
👩‍🔬 Data Science (Архитектор ИИ) https://data.1t.ru/orion
Промокод для наших выпускников — SPRINT. 
 
🧑‍💻 А запись вчерашнего вебинара о профессии IT-менеджера уже на нашем канале в YouTube: https://www.youtube.com/live/zcdurjF9s8M?feature=share. Подробный рассказ от практиков о том, что представляет из себя профессия менеджера в IT, с какими основными сложностями сталкивается продакт и как их преодолевать. 
 
Ждем вас на вебинаре! 
 
#1ТСпринт_ИИ";2023-05-04 13:36:39;-42uB2o4804F03eP0L-Le5xwTZJY;0;2;422
"⏰ Начинаем через полчаса! 
 
Вебинар «Профессия менеджера в IT» начнется в 19:00. 
 
🧑‍💻 Подключайтесь к вебинару в 
YouTube https://www.youtube.com/live/zcdurjF9s8M?feature=share 
ВКонтакте https://vk.com/video-215426617_456239060 
по ссылке на Zoom в чатах потоков в Telegram и в нашем канале https://t.me/sprint_1T 
 
Приходите, чтобы узнать: 
 
🔸 Какие менеджеры бывают в IT-сфере 
🔸 Как дорасти до продакт-менеджера 
🔸 Как искусственный разум справится с задачей менеджера 
 
Ждем вас в 19:00! 
 
#1ТСпринт_вебинары";2023-05-03 18:30:00;R4gwAOKLDlMYmB7kV-c8UYv-DqwB;1;2;420
"Чем занимается менеджер IT-проектов? 
 
🧑‍💼 Узнаете уже сегодня, в 19:00 по МСК, на открытом вебинаре «Профессия менеджера в IT». Приглашаем выпускников всех потоков и специальностей 1Т Спринт и всех, кто подписан на наши каналы! 
 
В вебинаре: 
 
🔸 Какие менеджеры бывают в IT-сфере и почему «проджект» и «продакт» — это не одно и то же. 
 
🔸 Каким должен быть современный продакт-менеджер, и из каких IT-профессий он вырастают менеджеры (спойлер: почти из всех, поэтому обязательно подключайтесь к вебинару, чтобы узнать, как трансформироваться). 
 
🔸 За полчаса на понятной модели вы изучите основы юнит-экономики и базовые продуктовые метрики. 
 
🧠 Посмотрите, как ИИ будет решать реальную ежедневную задачу менеджера. 
 
Что ещё? Q&A-сессия с ответами на ваши вопросы, которые вы можете отправить напрямую куратору менеджеров — @Manager_Sprint 
 
Вебинар проведут знакомые вам эксперты: 
 
▶ Алексей Костин, 1Т, проект-менеджер с опытом 15+ лет в IT-аутсорсинге 
 
▶ Вячеслав Колпаков, Ростелеком, IT-партнер кластера «Цифровые Регионы» 
 
▶ Ирина Никонович, 1Т, системный аналитик и менеджер, скрам-мастер, ex. Окко (Сбер) 
 
Спринт любит удивлять, поэтому в роли соведущих выступят две прекрасные (и уже трудоустроенные) выпускницы курсов 1Т Спринт: 
 
🎓 Ирина Карнаухова, BCC Company, продакт-менеджер 
 
🎓 Анастасия Якимейченко, 1Т Клуб, проект-менеджер 
 
📺 Ссылку на Zoom опубликуем в чатах незадолго до начала вебинара. Также будет трансляция 
YouTube https://www.youtube.com/live/zcdurjF9s8M?feature=share 
ВКонтакте: https://vk.com/video-215426617_456239060
и в нашем канале Телеграм: https://t.me/sprint_1T
 
Приходите, будет интересно! 
 
#1ТСпринт_вебинары";2023-05-03 13:28:11;MYV_0Rfy16I0fF__9upNagpvV_0C;0;3;418
"🎬 Видео о Спринт Офлайн — на нашем канале YouTube!
https://youtu.be/sCJrLLcSMe0
 
🏰 В апреле наши выпускники окунулись во вселенную Гарри Поттера. На Спринт Офлайн их ждали волшебные палочки, парящие свечи, сова и распределяющая шляпа — все детские мечты попасть в Хогвартс сбылись! 
 
🧙‍♂ На два дня все стали настоящими волшебниками — общались, учили новые заклинания и творили чудеса на хакатоне. И веселились — пировали за столами в Большом зале (конечно же, ломящимися от яств), учились танцам, восторгались световым шоу и жгли бенгальские огни. 
 
🐣 Феникс всегда возрождается — и мы ждем нового сезона Спринта осенью, чтобы еще раз собраться вместе! 
 
👉 А прямо сейчас открыта регистрация на летние курсы по искусственному интеллекту: за три месяца вы сможете получить перспективную профессию инженера данных, аналитика данных или архитектора ИИ — и это почти бесплатно. А для наших выпускников по промокоду SPRINT — бесплатно совсем. Регистрируйтесь на сайте https://data.1t.ru/!";2023-05-02 18:10:00;Tz7f3WWWT1uP9rvL0UDmmKe1qDZR;1;7;417
"Еще одно видео на нашем канале — 🎬 выступление Ильи Чеха из «Моторики» на Спринт Офлайн: https://youtu.be/OJzN26zynP0
 
🦄 Четкая и понятное руководство к действию для начинающих стартаперов от одного из немногих «единорогов» на российском рынке. 
 
🦾 Компания «Моторика» за 10 лет прошла путь от проекта «для фана» до одной из трех команд в мире, которая смогла успешно передать информацию от протеза в нервную систему человека. Сейчас «Моторика» — мировой лидер в сфере детских протезов. От компании друзей, которая делает простые модели протезов на 3D-принтере, они смогли вырасти до компании мирового уровня, применяющей самые передовые технологии на стыке медицины, IT и робототехники. 
 
В видео: 
 
🔹 Что важнее в продукте, дизайн или функциональность? 
 
🔹 Какой бизнес-план нужен на старте? 
 
🔹 Нужно ли проверять то, в чем уверены все игроки на рынке? 
 
🔹 Как и зачем в киберпротезировании используется искусственный интеллект? 
 
🔹 И что читать начинающим стартаперам? (научную фантастику 😁)
 
#1ТСпринт_стартапы";2023-05-01 14:05:00;AFitPQTC5ct41Z-lubv_YpZtjyCy;0;6;415
"Как заинтересовать инвестора. Инвестиционная презентация и питч 
 
🟢 15 апреля на Спринт Офлайн 🎬 выступил Глеб Беляевский — руководитель направления инвестиций акселераторов Сбера: https://youtu.be/GovyxbhAZmA. Он рассказал, как подготовить эффективную инвестиционную презентацию и питч для инвесторов: 
 
✅ Чем отличается инвестиционная презентация от питч презентации. 
 
✅ О чем нужно обязательно рассказать в презентации. 
 
✅ Какое количество слайдов оптимально. 
 
✅ Как выглядит правильная структура презентации. 
 
✅ Сколько текста должно быть на слайдах. 
 
✅ Как делать не нужно. 
 
Главное правило хорошей инвестиционной презентации — в самом конце, не пропустите! 
 
💰 Хотите заинтересовать инвестора своим проектом? Пользуйтесь опытом наших экспертов! 
 
#1ТСпринт_стартапы";2023-04-30 14:10:00;O4Qv1Oe10klBvn5WAvhJKUoUb77k;0;3;414
"На нашем Youtube-канале вышла запись вебинара «Как получить востребованную профессию в сфере искусственного интеллекта за счет государства». Так что если вы пропустили эфир 27 апреля, вы все равно можете посмотреть: https://www.youtube.com/live/mPF8s4MjYDY

🤖 Экспресс-распаковку внутренностей технологий искусственного интеллекта и больших данных;
👨‍🎓 Как самому стать специалистом в этих сферах;
🔥 Почему потребность в ИИ-специалистах растет даже в кризис, какие к ним требования и сколько они зарабатывают.

Также рассказываем о проекте ""1Т Data"" и трех новых курсах от 1Т с финансированием от государства:
💿 Инженер данных https://data.1t.ru/leo
👨‍💻 Аналитик данных https://data.1t.ru/libra
👩‍🔬 Data Science (Архитектор ИИ) https://data.1t.ru/orion

💎 Живые вебинары несколько раз в неделю, реальные бизнес-кейсы и непрерывная поддержка — всё на том же фирменном уровне, как и в 1Т Спринт.

📆 И всё это всего за три месяца!
* и еще месяц бонусной стажировки при желании

💳 Причем почти или даже совсем бесплатно:
Обычная стоимость программы — 85 000 руб.
Государство оплачивает — 75 000 руб.
Вам остается доплатить всего — 10 000 руб.
А выпускники Спринта получат грант — 10 000 руб. 
– по промокоду SPRINT
– т.е. обучаются 👉 БЕСПЛАТНО 👈

Смотрите видео, переходите на сайт data.1t.ru и выбирайте ту профессию, которая вам ближе. Но поторопитесь — количество мест очень ограничено!

Ждем вас на новых курсах!

#1ТСпринт_ИИ";2023-04-29 12:00:04;wD7uyjU2wkQiqBcNbRyimLyoHHvM;0;4;412
"🧑‍💻 Хакатон 1Т — итоги конкурса 

🤖 16 апреля на Спринт Офлайн стартовал хакатон на тему ИИ — с помощью нейросетей нужно было создать кейс-историю о своей специальности. Вчера в эфире вебинара о запуске трех новых курсов по искусственному интеллекту наша команда подвела итоги хакатона. Подробный разбор конкурсных работ — в🎙видео с Александрой Дюковой, Никитой Тахировым и экспертом по нейросетям Николаем Скороходовым: https://youtu.be/YAylH6V_7Ek 
 
Всего в хакатоне участвовало 36 человек, сольно и в командах. Все участники разделили призовые места и получат подарки от 1Т. 
 
🥇 Все авторы работ-победителей получают сертификаты Озон номиналом 3000 рублей: 

Статья про то, как команда джунов на хакатоне изобретала способ решения проблемы мошенничества, команда «Душнилы»: Оля Биркун, Оксана Бахарева, Дарья Прокопова, Анастасия Бегова, Ольга Масло, Марина Фисун, Виталий Шилкин, Альбина Сундетова, Вероника Землякова, Диана Мансур. 
https://vc.ru/services/673647-statya-pro-to-kak-komanda-dzhunov-na-hakatone-izobretala-sposob-resheniya-problemy-moshennichestva-s-pomoshchyu-kollaboracii-ser 
 
Магическое комбо: команда джунов, искусственный интеллект и будущее, команда «Плутон»: Артем Янин, Денис Малышев, Анастасия Шатова, Анастасия Сатюкова, Андрей Насибуллин, Лидия Петрова, Павел Булавинов, София Ходырева, Артем Шилин, Анастасия Кейт. 
 https://vk.com/wedielikerealmen?w=wall186873998_2387%2Fall 
 
Чем занимается Ликвидатор нейросетей? Один день из жизни ликвидатора, Денис Масальский. 
https://vc.ru/flood/674487-chem-zanimaetsya-likvidator-neyrosetey-odin-den-iz-zhizni-likvidatora 
 
🥈Второе место и сертификаты Озон на 2000 рублей: 

Нейронная соцслужба. Специалист по контролю работы нейросети, Александра Богданец. 
https://vc.ru/u/1193779-aleksandra-bogdanec/674486-neyronnaya-socsluzhba-specialist-po-kontrolyu-raboty-neyroseti 
 
Хакатон 1T Спринт Офлайн, команда №3: Ирина Крутова, Георгий Щукин, Асият Кирасиров, Никита Тахиров, Александр Егоров, Софья Муратова, Станислава Мончаковская, Анна Дралова, Анастасия Зауголкина, Элоян Месроп. 
https://vc.ru/u/1750921-nikita-tahirov/667197-hakaton-1t-sprint-offline 

🥉 Третье место, сертификаты на 1000 рублей: 
 
И Бог и раб, Наталья Чащина. 
https://vc.ru/u/1324296-libnis-chashchina-nataliya/669523-i-bog-i-rab?writing=669523 
 
Будущее человечества, Галина Боровкова. 
https://vc.ru/u/1777729-halighe/673734-budushchee-chelovechestva 
 
Лечебная капсула MSFuture, Александра Богданец, Александра Андреева. 
https://vc.ru/u/1750463-aleksandra-andreeva/667199-lechebnaya-kapsula-msfuture 
 
🎉 Поздравляем всех участников! И заканчиваем пост словами Николая Скороходова: «Будущее не за искусственным интеллектом. Будущее за человеком, который умеет его использовать». 

#1ТСпринт_ИИ";2023-04-28 17:20:00;TlU3lspZCryJ8_ziJMVLZ54t4EXq;1;4;409
"⏰ Начинаем через полчаса! 
 
Вебинар «Как получить востребованную профессию в сфере искусственного интеллекта за счет государства» начнется в 20:00. 
 
‍💻 Подключайтесь к вебинару в YouTube: https://youtu.be/mPF8s4MjYDY,
ВКонтакте https://vk.com/video-215426617_456239055
или по ссылке на Zoom в чатах потоков в Телеграм.
 
Расскажем про три новых курса: 
💿 Инженер данных https://data.1t.ru/leo 
👨‍💻 Аналитик данных https://data.1t.ru/libra 
👩‍🔬 Data Science (Архитектор ИИ) https://data.1t.ru/orion 
 
Кроме этого, будем говорить про: 
🔹 Отличия Data Science, Data Analytics и Data Engineering. 
🔹 Перспективы этих профессий на рынке труда. 
🔹 Итоги хакатона Спринт Офлайн по ИИ. 
 
Ждем вас в 20:00! 
 
#1ТСпринт_ИИ";2023-04-27 19:30:00;DWUPqZOfD-k2bymZuBCRhridh9AV;1;4;407
"С днем дизайнера! 
 
🎨 Неофициальный день графического дизайнера мы уже отмечали в декабре. А сегодня — праздник для всех дизайнеров без исключений, Международный день дизайна. Мы поздравляем всех графических, гейм- и веб-дизайнеров, дизайнеров интерфейсов и анимации и, конечно, UI / UX-дизайнеров. Желаем вам делать своей работой жизнь вокруг ярче, удобнее и лучше! 
 
🖌 Всемирной организации дизайна, которая учредила этот праздник, исполняется в этом году уже 60 лет. Она представляет и защищает права и интересы дизайнеров по всему миру и продвигает лучший дизайн. 27 апреля — день ее основания. 
 
🎉 Сам праздник начали отмечать в 1995 году. Его целью стало показать, как с помощью дизайна можно изменять мир к лучшему и повышать качество жизни людей. 
 
🎁 Сегодня на нашем канале в YouTube мы выложили в открытый доступ небольшой отрывок из вводной лекции нашего курса «UI/UX-дизайнер» — 🎬 https://youtu.be/-02V0z6n7SA Преподаватель 1Т Спринт Тимур Бакаев расскажет, как начать пользоваться главным современным инструментом дизайнеров — графическим редактором Figma. Если вы еще только думаете об этой профессии, попробуйте, может это ваше призвание? 
 
С праздником!🥳 
 
#1ТСпринт_профессии";2023-04-27 16:53:29;P9e0-qqM7vGRkMNrOqDu21L7oWz7;1;10;405
Профессия аналитик: открытый вебинар;2023-04-27 08:52:28;Je46VTDARhDgeIhiDY42-6QlehjM;3;18;404
"🚀 Три новых курса от 1Т по искусственному интеллекту за счет государства! 💸 
 
Длительность обучения – 3 месяца (260 ак. часов) 
Первый поток стартует уже летом, а второй – осенью 
Документы об образовании государственного образца 
Фирменный подход и качество 1Т гарантировано! 
 
💿 Инженер данных https://data.1t.ru/leo 
 
👨‍💻 Аналитик данных https://data.1t.ru/libra 
 
👩‍🔬 Data Science (Архитектор ИИ) https://data.1t.ru/orion 
 
💳 Обычная стоимость программы – 85 000 руб. 
– Государство оплачивает – 75 000 руб. 
– Вам остается доплатить всего – 10 000 руб. 
– Но наши выпускники получают грант – 10 000 руб. 
 т.е. обучаются 👉 БЕСПЛАТНО 👈 по промо-коду SPRINT 🤑 
 
❗️ Чтобы не упустить место, сделайте сегодня: 
1⃣ Зарегистрируйтесь на нашем сайте (ссылки вверху поста) 
2⃣ Заполните анкету участника на сайте госпрограммы 
– ссылка откроется после регистрации на нашем сайте 
– вопросов немало, но мы в вас верим! 💪 
 
🙋 А можно завтра? 
Регистрируйтесь сегодня – завтра будет поздно! 
Количество мест очень ограничено 😞 
Введите промо-код ""SPRINT"" в форме регистрации (по указанным выше ссылкам). 
 
🙋‍♂ А если я не выбрал курс или поток? 
Регистрируйтесь на любой курс – поменяете позже. 
 
🤷‍♂ Кто может обучаться? 
– Граждане России старше 18 лет до пенсионного возраста 
– Студенты / граждане с высшим или СПО-образованием 
– Выпускники 1Т Спринт 22-23 годов 
 
🙋‍♀ А если еще много вопросов? 
 
1⃣ Сегодня (ср) 26 апреля в 19:00 МСК 
задайте их на открытом вебинаре «Профессия аналитик»: Ссылка: https://youtu.be/2sxPUuPjWSQ
 
2⃣ Завтра (чт) 27 апреля в 20:00 МСК будет специальный вебинар, где мы обсудим: 
– Отличия Data Science, Data Analytics и Data Engineering. 
– Перспективы этих профессий на рынке труда. 
– Итоги хакатона Спринт Офлайн по ИИ. 
Ссылка: https://youtu.be/mPF8s4MjYDY";2023-04-26 18:07:00;8ANLA0hoTjLjfN0FCsmifMBmjORc;11;17;403
"📺 Друзья, тяжело ли вам было без вечерних вебинаров? Да? Нам тоже! 
 
🎉 Поэтому мы решили продолжать. Ближайшие шесть недель по средам в 19:00 ждем выпускников 1Т Спринт всех специальностей и всех потоков (и вообще всех желающих) на открытых вебинарах. Каждый из них мы посвятим одной IT-профессии. 
 
🏁 Уже завтра, 26 апреля, в 19:00 по МСК сезон откроет Ирина Никонович с вебинаром «Профессия аналитик». Ирина пригласила двух коллег-экспертов: 
 
🎓 Мирослава — системный аналитик с опытом в профессии 10+ лет. Расскажет историю поиска работы: а) со средним английским, б) в другой стране. 
 
🏄‍♂ Антон — уже пару лет в аналитике, но при этом оказался в IT случайно. Расскажет про совмещение ролей продакта, проджекта, аналитика и даже разработчика. 
 
📝 Также обсудим разделение на бизнес и системный анализ, рутинные и самые впечатляющие аспекты профессии, карьерный путь, профессиональный рост и ответим на ваши вопросы, готовьте их заранее! Ссылку на трансляцию опубликуем завтра, незадолго до начала вебинара. 
 
P.S. Заметили, что мы анонсировали шесть вебинаров по профессиям, хотя раньше на Спринте их было только пять? Внимательность — это то самое качество, которое очень нужно QA-специалисту. Да-да, последний вебинар в этой серии проведут тестировщики и представят новый курс для 1Т Спринт. 
 
😉 Но и это еще не всё! 
 
Уже сегодня в 17:00 приглашаем вас и ваших детей на вебинар «Код Будущего» от РосНОУ! Тема вебинара — «Как начать свой путь в IT-индустрии, отучившись на бесплатных курсах за одно лето». 
 
🧑‍🏫 Преподаватель 1Т Старт Дмитрий Третьяков расскажет о том, может ли школьник выучить JavaScript за одно лето и о современных методах обучения, которые помогут ребенку получить необходимые навыки. 
 
🏫 Организатор вебинара — Университет 2035, федеральный оператор госпрограммы «Код будущего». Ссылка: https://vk.com/video-164984229_456239650 
 
#1ТСпринт_вебинары";2023-04-25 13:48:46;b6752PWUlNC2wB1WpMiIWMAMl9Q1;0;9;402
"🧙‍♀ Выложили фотоотчет с самого масштабного Офлайна — Спринтус Офлайнус! 
 
📸 Фотографии — уже в альбоме нашего сообщества: https://vk.com/album-215426617_291503958. Вспомним еще раз самые волшебные моменты! 
 
💫 Подписывайтесь на нашу группу ВК, у нас еще много интересного! 
 
#1ТСпринт_офлайн";2023-04-24 17:07:43;4iHbWFMDaunrmHRXE0oPUB0Nuj9I;1;16;401
"Гимн 1Т — итоги конкурса 
 
🎵Сегодня рассказываем о победителях и участниках музыкального конкурса! Задание было сложным, но мы получили целых десять вариантов гимна от наших одаренных выпускников. Три из них прозвучали на Офлайне, причем в исполнении авторов-победителей, это: 
 
🥈 Карина Черницова с песней о цифровизации, которая захватила человечество, ее приз — 5000 рублей. 
 
🥇 Светлана Смородская и Людмила Саенко — две выпускницы 123 потока, а ныне действующие кураторы курсов 1Т Спринт! Свои версии гимна они исполнили вживую на Офлайне. Они обе заняли первое место и получили по 10 000 рублей. 
 
🎁 Остальные семь авторов тоже не остались без подарков — каждый получил сертификат на ЛитРес номиналом 1000 рублей. 
 
💫 Анна Шепеленко и песня про единство в 1Т Спринт. 
 
💫 Дарья Губская и песня про помощь 1Т Спринт в завоевании IT-сферы. 
 
💫 Кирилл Кувшинов и песня про совершенствование мира с помощью IT. 
 
💫 Александра Андреева и песня про digital-вселенную. 
 
💫 Софья Муратова и ее рэп-версия гимна работе в команде. 
 
💫 Даниил Спиридонов и песня про счастливое будущее, которое наступит благодаря упорному труду наших выпускников. 
 
💫 Анна Визелка и IT-частушки про 1Т Спринт. 
 
📃 Тексты всех гимнов — по ссылке: https://docs.google.com/presentation/d/1sGIkxzRVvwEKzM3WrqwZnJ978QDy4PZKfQ9bEtnJlJQ/edit#slide=id.g22e3c71023f_0_259.
А выступление победителей можно посмотреть в трансляции SPRINTUS OFFLINUS: https://youtu.be/MlSLld9TKys?t=25232. 
 
Мы очень рады, что к нам приходят учиться такие талантливые люди. Спасибо вам за то, что не перестаете удивлять 💜 
 
#1ТСпринт_конкурс";2023-04-23 16:30:00;U0vC1OwxQhv2LgEYkJIvgr3GBMDc;0;13;400
"Проекты-победители 7-го потока 
 
🏆 Презентация результата работы проектных команд — важная часть каждого Офлайна. В этот раз свои проекты представлял 7-й поток. Четыре команды провели презентации «вживую» перед аудиторией Офлайна 15 апреля, а еще десять команд представили свои работы на онлайн-презентации 8 апреля. 
 
🥇 Из каждой группы были выбраны победители — два проекта, что получат годовую поддержку от 1Т: хостинг и другое техническое содействие, консультации и помощь в развитии продукта. 
 
🧗 Оба проекта оказались связаны с туризмом — выше всех жюри оценило сайты «Едем в горы» и «Мальстрим». Даже сложно поверить, что эти уже рабочие сайты — результат всего лишь нескольких месяцев работы. Расскажем подробнее про каждый из проектов. 
 
🏔 «Едем в горы», по определению самой команды — маркетплейс туристических услуг Северного Кавказа. Для разработки сайта команда провела исследование целевой аудитории и масштабный SWOT-анализ, определила, насколько проект востребован. Итогом стало предложение и для туристов, и для продавцов услуг — удобный инструмент для планирования отдыха и площадка для привлечения клиентов для туристических организаций. Для презентации команда даже подготовила проморолик с горными пейзажами. Итогом работы стал адаптивный сайт, с каталогом, отзывами, формами обратной связи и личным кабинетом. Ссылка: https://edem-v-gory.com/ 
 
🌪 Второй победитель — команда проекта «Мальстрим». Они создавали сайт для уже существующей туристической компании, которая специализируется на традиционных и авторских турах в горах Крыма и Кавказа. Несмотря на сложности, например, команде пришлось перераспределить между собой обязанности менеджера, они справились. Всего за несколько месяцев команда разработала дизайн, провела исследования аудитории, продумала сценарии использования — и воплотила это всё в прекрасном сайте http://malstrim.ru/ 
 
⭐ Поздравляем команды и всех, кто довел свои проекты до защиты! Вы все — победители! 
 
#1ТСпринт_проекты";2023-04-22 17:00:01;c_QqB7YAMbFz0qzt2R_er-agaXqy;0;19;399
"Бесплатный билет на Crypto Summit 2023! 
 
🔗 Приглашаем на второй ежегодный саммит по криптовалютам и блокчейн-технологиям — одному из самых передовых технологических направлений современного IT. 
 
26 и 27 апреля в Music Media Dome в Москве соберутся ведущие эксперты отрасли, инвесторы и блокчейн-разработчики. Главные темы выступлений — развитие, регулирование и последние тренды криптомира. Цель мероприятия — выработка общего плана развития индустрии на ближайшие годы. 
 
🎙 Среди спикеров — Анатолий Аксаков, депутат Государственной Думы, председатель комитета по финансовому рынку, Надежда Сурова, руководитель Центра компетенций Цифровая Экономика, Александр Нам, директор лаборатории блокчейн Сбера. 
 
Организаторы саммита — ассоциация РАКИБ и группа компаний Crypto Holding. 
 
🎫 Как получить бесплатный билет (только очное участие!): 
🔹 Перейти на сайт http://cryptosummit.ru/ 
🔹 Нажать «Купить билет» 
🔹 Выбрать стандартный билет 
🔹 Ввести промокод FINKA2023 и получить 100% скидки 
 
#1ТСпринт_конференции";2023-04-22 12:28:03;UXzGrRnsEstem6-7vftBTZgWp8rL;1;5;396
"🧑‍ Хотите снова поработать в команде? А над реальным проектом? Если да, то мы кое-что придумали! 
 
🖥 Платформа 1Т Клуба еще находится в разработке, но к нам уже стучатся заказчики с проектами сайтов и веб-приложений. Они готовы доверить свои заказы выпускникам курсов 1Т Спринт. Поэтому вы можете взяться за дело даже до официального запуска Клуба. 
 
Но для этого нужна готовая ИТ-команда. Сумеете самоорганизоваться? 
 
План такой: 
 
1⃣ Соберите новую проектную команду, в которой будут представлены все роли (менеджер, аналитик, маркетолог, дизайнер, веб-разработчик). Можно брать по несколько представителей одной специальности, а в случае с веб-разработчиками — даже нужно. Большинство людей в команде должны быть выпускниками курсов 1Т Спринт. Можно приглашать людей с разных потоков и из разных учебных проектов. 
 
2⃣ Выберите лидера (не обязательно менеджерской специальности). Это должен быть человек, готовый активно коммуницировать с 1Т Клубом и с будущим заказчиком. Участники команды должны доверять лидеру, в том числе в вопросах распределения возможной прибыли. 
 
3⃣ Подготовьте презентацию команды (не более 10 слайдов). Помните, что ваш продукт — это команда, а презентация должна работать, даже когда вас нет рядом. На одном из слайдов обязательно представьте состав команды.
 
4⃣ Подпишитесь на канал 1Т Клуба в Телеграм: https://t.me/Club1T. Там скоро выйдет пост с инструкцией о том, куда отправить презентацию. Мы будем принимать презентации до 15 мая, но учтите, что число проектов ограничено, не затягивайте! 
 
5⃣ Дождитесь ревью вашей презентации и успешно пройдите собеседование с наставниками 1Т Клуба. На собеседовании вы узнаете подробности о проектах. 
 
✨ Так вы досрочно станете первыми участниками Клуба еще до официального релиза и вольетесь в реальный проект! 
 
#1ТКлуб";2023-04-21 17:16:48;4uSKeCCT9I0qDlnYn3Tr6oOqdj7E;2;6;395
